Sąskaitos Nr.,,Data,Gavėjas,Paaiškinimai,Suma,Valiuta,D/K,Įrašo Nr.,Kodas,Įmokos kodas,Dok. Nr.,Kliento kodas mokėtojo IS,Kliento kodas,Pradinis mokėtojas,Galutinis gavėjas
LT587300010127725993,10,2025-09-01,,Likutis pradžiai,158.02,EUR,K,,AS,,,,,,
LT587300010127725993,20,2025-09-01,ELENA VASILIAUSKAITĖ,Grynųjų pinigų įnešimas per bankomatą,320.00,EUR,K,2025090101566330,MK,,,,,,
LT587300010127725993,20,2025-09-02,"Parduotuvė „Šviesa“, PC „Saulėtekis“ 67 VILNIUS",Pirkimas (Kasos Nr. X-533),-21.22,EUR,D,2025090201462351,K,,,,,,
LT587300010127725993,20,2025-09-02,PETRAS PETRAUSKAS,Garantinis mokestis už planą „Patogu“,300.00,EUR,D,2025090201629068,MK,,,,,,
LT587300010127725993,20,2025-09-04,MAITINIMO TAŠKAS „GĖLYNĖ“,Bilietas (išmoka),1.10,EUR,D,2025090400615205,M,,,,,,
LT587300010127725993,20,2025-09-05,"MOBILUMO PLATFORMA, AB, „Gedimino pr. 5“ VILNIUS\LT\CENTRO G. 1\LTLTULTU",Bilietas (išmoka),6.00,EUR,D,2025090502624308,K,,,,,,
LT587300010127725993,20,2025-09-06,SIUNTŲ TAŠKAS / PC „VĖJAS“,Bilietas (išmoka),1.00,EUR,D,2025090602002821,K,,,,,,
LT587300010127725993,20,2025-09-08,"MAXIMA, UAB",Siuntos atsiėmimas (Omni Maxima),4.99,EUR,D,2025090801751596,K,,,,,,
LT587300010127725993,20,2025-09-10,"FINANSAI PRO, AB (Investicijų Fondas „Ateitis“)",Bilietas (išmoka),595.00,EUR,K,2025091001332816,MK,,,,,,
LT587300010127725993,20,2025-09-10,"OPTIMALUS SPRENDIMAS, UAB",Sporto paslaugos,-10.00,EUR,D,2025091002399574,M,9564512,,,,,
LT587300010127725993,20,2025-09-10,UAB „ENERGIJOS GĖLA“,Periodinis investavimas: Konservatyvus portfelis,-10.00,EUR,D,2025091002399577,M,9564513,,,,,
LT587300010127725993,20,2025-09-10,"MOKĖJIMAI PLIUS, UAB",Periodinis investavimas: Akcijų diversifikacija,-10.00,EUR,D,2025091002399581,M,9564514,,,,,
LT587300010127725993,20,2025-09-10,UAB „ŠILUMOS TEKĖJIMAS“,Periodinis investavimas: Geriausių technologijų fondas,-10.00,EUR,D,2025091002399683,M,9564534,,,,,
LT587300010127725993,20,2025-09-10,UAB „VANDENS GRĮŽTIS“,Periodinis investavimas: Sveikatos priežiūros sektorius,-10.00,EUR,D,2025091002406265,M,9565872,,,,,
LT587300010127725993,20,2025-09-15,UAB „SKOLŲ VALDYMAS“,Periodinis investavimas: Pasaulinis poveikis,-125.00,EUR,D,2025091500663651,MK,,SOP,,,KĘSTUTIS EIROŠIUS / V0179018112,
LT587300010127725993,20,2025-09-15,UAB „SKOLŲ VALDYMAS“,Periodinis investavimas: Tausiosios Energijos Fondas,-2.00,EUR,D,2025091501414281,K,,,,,,
